\item $\displaystyle \int \left(3x^2-60x+336\right)\sqrt[4]{(x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+18x+82\right)\sqrt{(x+9)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-40x+111\right)\sqrt[3]{2x-10}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-72x-144\right)\sqrt{2x+9}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+8x+8\right)\sqrt[3]{(2x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+32x+32\right)\sqrt[4]{(2x+4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2+48x+27\right)\sqrt{(2x+4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+18x+9\right)\sqrt{3x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2+56x+122\right)\sqrt{2x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2+6x+5\right)\sqrt[4]{(3x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+22\right)\sqrt{(2x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x+7\right)\sqrt[4]{(2x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+18x-9\right)\sqrt[4]{(3x-3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-6x-14\right)\sqrt{(3x-1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x-7\right)\sqrt{2x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-20x+26\right)\sqrt[3]{(2x-5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-8\right)\sqrt{3x}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-24x-36\right)\sqrt{(2x+6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2+32x-158\right)\sqrt[3]{(x-8)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-16x+3\right)\sqrt{2x-4}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2\right)\sqrt{(x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x-4\right)\sqrt[3]{(2x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2-18x+36\right)\sqrt[3]{3x+1}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+80x+202\right)\sqrt[3]{(2x+10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-8x+11\right)\sqrt{2x+2}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-20x+11\right)\sqrt{2x-5}\, \, dx =\cdots $
\item $\displaystyle \int \left(12x^2+12x+3\right)\sqrt{2x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(-12x^2+96x-180\right)\sqrt{(2x-8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+108x-255\right)\sqrt[4]{(2x-9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-120x+200\right)\sqrt{3x-10}\, \, dx =\cdots $
\item $\displaystyle \int \left(-x^2-4x-5\right)\sqrt[4]{(x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+20x+100\right)\sqrt[3]{x+10}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2+36x-174\right)\sqrt[3]{(x-9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2+36x+27\right)\sqrt[3]{2x+3}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+16x-12\right)\sqrt{2x-4}\, \, dx =\cdots $
\item $\displaystyle \int \left(-2x^2-36x-186\right)\sqrt{x+9}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2-40x+22\right)\sqrt{(2x-5)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-24x-6\right)\sqrt[4]{(2x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-8x+12\right)\sqrt[4]{(2x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+14\right)\sqrt[3]{(3x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-36x+81\right)\sqrt{(2x-9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-28x+42\right)\sqrt{(2x-7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-20x+26\right)\sqrt{2x-5}\, \, dx =\cdots $
\item $\displaystyle \int \left(12x^2-9\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-40x+97\right)\sqrt{(2x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2-54x+255\right)\sqrt{x-9}\, \, dx =\cdots $
\item $\displaystyle \int \left(-12x^2-84x-156\right)\sqrt[3]{2x+7}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x-3\right)\sqrt[4]{(2x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2+18x-82\right)\sqrt[3]{x-9}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2-60x+273\right)\sqrt{(x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+24x+36\right)\sqrt[3]{2x+6}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+12x-22\right)\sqrt{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+5\right)\sqrt{(2x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-3x^2-12x+12\right)\sqrt[3]{(x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-48x+34\right)\sqrt[3]{(3x-4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2+90x+75\right)\sqrt[4]{3x+5}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+10x+16\right)\sqrt[3]{(x+5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+72x+100\right)\sqrt{3x+6}\, \, dx =\cdots $
\item $\displaystyle \int \left(3x^2+6x+3\right)\sqrt[3]{(x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-80x-200\right)\sqrt{(2x+10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-4x-1\right)\sqrt{(x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2+36x+27\right)\sqrt{2x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-3\right)\sqrt[4]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-12x+2\right)\sqrt[3]{(3x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-28x-49\right)\sqrt[3]{(2x+7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2+26\right)\sqrt[3]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+12x+37\right)\sqrt{x+6}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2+40x+52\right)\sqrt[3]{2x+5}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2-18x-3\right)\sqrt{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-72x+58\right)\sqrt{(3x-6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-12x-5\right)\sqrt{2x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2-8x-22\right)\sqrt[3]{(2x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+64x+98\right)\sqrt{2x+8}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-24x-22\right)\sqrt[4]{2x+6}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+3\right)\sqrt[3]{(x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-48x-66\right)\sqrt[3]{(2x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+4x+8\right)\sqrt{(x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-40x+111\right)\sqrt{(2x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+28x+55\right)\sqrt[4]{(2x+7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-6x+16\right)\sqrt[4]{(3x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2\right)\sqrt{(3x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+24x-19\right)\sqrt{(3x-4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-12x+9\right)\sqrt{(2x-3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x-13\right)\sqrt[4]{(2x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+60x+115\right)\sqrt[4]{(3x+10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+12x-6\right)\sqrt[3]{3x+1}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-48x+74\right)\sqrt[3]{2x-6}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-8x-18\right)\sqrt[3]{2x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-4\right)\sqrt{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-18\right)\sqrt{3x}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2-96x-136\right)\sqrt{(3x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2+16x-62\right)\sqrt{x-8}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2-8x+6\right)\sqrt{2x-1}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2-8x+6\right)\sqrt{(2x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2-12x-2\right)\sqrt{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+16x+38\right)\sqrt{(x+4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+8x-12\right)\sqrt[3]{(2x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-2\right)\sqrt{(x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+16x+2\right)\sqrt{2x+2}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+16x+38\right)\sqrt{(x+4)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+24x-39\right)\sqrt{2x-6}\, \, dx =\cdots $
\item $\displaystyle \int \left(-8x^2-8x\right)\sqrt{(2x+1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+12\right)\sqrt{3x}\, \, dx =\cdots $
\item $\displaystyle \int \left(18x^2-84x+120\right)\sqrt[4]{3x-7}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2-48x+92\right)\sqrt{2x-6}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+2\right)\sqrt{(x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-108x-222\right)\sqrt[4]{(2x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-72x-108\right)\sqrt[3]{(2x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+84x-150\right)\sqrt[3]{(2x-7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2+84x-80\right)\sqrt{3x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(9x^2+54x+80\right)\sqrt{(3x+9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+6x-1\right)\sqrt[3]{(x+3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+24x+12\right)\sqrt[4]{(2x-2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2-6\right)\sqrt[3]{(3x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2-36x-162\right)\sqrt[3]{(x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-3x^2+21\right)\sqrt[3]{(x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+12x+14\right)\sqrt[3]{x+3}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-48x-67\right)\sqrt{(3x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2\right)\sqrt[4]{(2x)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-11\right)\sqrt{x}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+4x+2\right)\sqrt[3]{(x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+8x+2\right)\sqrt[3]{(2x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+13\right)\sqrt{2x+3}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-20x+25\right)\sqrt{2x-5}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+40x+204\right)\sqrt{x+10}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2-16x+65\right)\sqrt{x-8}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+8\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2+14x-62\right)\sqrt{x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(12x^2-108x+261\right)\sqrt{2x-9}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2-12x+10\right)\sqrt[4]{(2x-3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-6x-16\right)\sqrt{(x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+8x+10\right)\sqrt{(2x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2\right)\sqrt{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-18x+4\right)\sqrt{(3x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-30x+25\right)\sqrt[4]{3x-5}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+12x-19\right)\sqrt{3x-2}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-36x-83\right)\sqrt{(2x+9)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+14x+49\right)\sqrt{x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(18x^2-2\right)\sqrt[4]{(3x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+42x+60\right)\sqrt{(3x+7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-15\right)\sqrt[4]{(3x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-60x+101\right)\sqrt{(3x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+1\right)\sqrt{(3x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+14\right)\sqrt[4]{(2x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+6x+1\right)\sqrt{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+36x+48\right)\sqrt{(3x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-4x+1\right)\sqrt[3]{(2x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2\right)\sqrt[3]{(2x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+12x-28\right)\sqrt[4]{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-12x+24\right)\sqrt{(x-6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+24x+36\right)\sqrt{(2x+6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-18x+6\right)\sqrt[3]{3x+3}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+48x-6\right)\sqrt[4]{(2x-4)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-96x-150\right)\sqrt[4]{(2x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2-96x-130\right)\sqrt[4]{(3x+8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+8x-26\right)\sqrt[3]{(2x+1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-24x-24\right)\sqrt{2x+6}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-36x-73\right)\sqrt{(2x+9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-40x+101\right)\sqrt[3]{(2x-10)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2+54x+82\right)\sqrt[3]{(3x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2+40x-50\right)\sqrt[3]{2x-5}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-36x+92\right)\sqrt{(2x-9)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2-28x+98\right)\sqrt[3]{(x-7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-12x-1\right)\sqrt[4]{(3x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2+36x-69\right)\sqrt{(2x-3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-12x-5\right)\sqrt[3]{(3x+2)^{2}}\, \, dx = \cdots $
