\item $\displaystyle \int \dfrac{-12x+18}{\sqrt[3]{\left(3x^2-9x-2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x^2-12x}{\sqrt[3]{\left(10x^3-3x^2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-16x+6}{\sqrt{\left(4x^2-3x-14\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{40x}{\sqrt{\left(10x^2-14\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x-20}{\sqrt[3]{\left(15x^2-10x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x}{\sqrt[5]{\left(3x^2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{66x-15}{\sqrt[4]{\left(11x^2-5x-39\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x+26}{\sqrt[5]{\left(x^2-13x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x-2}{\sqrt{\left(x^2+x-18\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x^2-16x+30}{\sqrt[5]{\left(2x^3-4x^2+15x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{108x^2-72x-30}{\sqrt[3]{\left(12x^3-12x^2-10x+45\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x+12}{\sqrt[3]{\left(3x^2+6x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x^2+28x+4}{\sqrt{\left(6x^3-7x^2-2x-2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-112x}{\sqrt[3]{\left(14x^2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{84x^2+12x}{\sqrt[5]{\left(14x^3+3x^2+22\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{40x-22}{\sqrt[3]{\left(10x^2-11x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{112x+36}{\sqrt[5]{\left(14x^2+9x-40\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{84x-9}{\sqrt{\left(14x^2-3x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{56x+8}{\sqrt{\left(7x^2+2x+4\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-96x^2-64x-8}{\sqrt{\left(8x^3+8x^2+2x+52\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x-52}{\sqrt[3]{\left(x^2-13x+4\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{72x}{\sqrt[4]{\left(9x^2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2-60x+28}{\sqrt[5]{\left(2x^3+15x^2-14x+20\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x-27}{\sqrt[5]{\left(6x^2+9x-3\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-60x}{\sqrt[3]{\left(15x^2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-84x^2+6}{\sqrt[3]{\left(14x^3-3x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{32x-16}{\sqrt[4]{\left(4x^2-4x+48\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{112x}{\sqrt{\left(14x^2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{44x+6}{\sqrt[3]{\left(11x^2+3x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-44x+16}{\sqrt[4]{\left(11x^2-8x-16\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{120x^2+24x-28}{\sqrt[3]{\left(10x^3+3x^2-7x-36\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{32x+4}{\sqrt[3]{\left(8x^2+2x+4\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-48x-27}{\sqrt[3]{\left(8x^2+9x-33\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x}{\sqrt[4]{\left(6x^2-36\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-20x}{\sqrt{\left(5x^2-22\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-72x^2-60x-22}{\sqrt[3]{\left(12x^3+15x^2+11x-12\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x}{\sqrt[3]{\left(2x^2-2\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x+24}{\sqrt{\left(15x^2+12x+18\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x}{\sqrt[4]{\left(4x^2-6\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{52x+2}{\sqrt[5]{\left(13x^2+x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{30x+6}{\sqrt[3]{\left(5x^2+2x+6\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2+6}{\sqrt[3]{\left(2x^3-3x-6\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x}{\sqrt{\left(8x^2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-60x}{\sqrt{\left(15x^2-6\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{20x+30}{\sqrt[4]{\left(5x^2+15x+20\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x-2}{\sqrt{\left(2x^2+x+30\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-48x-36}{\sqrt[5]{\left(8x^2+12x-9\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x-4}{\sqrt[4]{\left(x^2-x+16\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{108x^2+16x-20}{\sqrt[3]{\left(9x^3+2x^2-5x-28\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-78x}{\sqrt[5]{\left(13x^2+33\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{32x+26}{\sqrt{\left(8x^2+13x-2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-56x-4}{\sqrt[5]{\left(14x^2+2x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-56x-24}{\sqrt[3]{\left(7x^2+6x-16\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{120x^2-80x+52}{\sqrt{\left(10x^3-10x^2+13x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x^2+60x-4}{\sqrt[5]{\left(4x^3-15x^2+2x-22\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-9x^2+78x+9}{\sqrt[4]{\left(x^3-13x^2-3x-30\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-72x^2+40x+14}{\sqrt{\left(12x^3-10x^2-7x+24\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{66x}{\sqrt[4]{\left(11x^2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{16x-8}{\sqrt[3]{\left(2x^2-2x+16\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{56x-36}{\sqrt[3]{\left(7x^2-9x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x-24}{\sqrt[4]{\left(2x^2+12x+30\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-48x^2-2}{\sqrt{\left(8x^3+x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{32x+48}{\sqrt[3]{\left(4x^2+12x+20\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{9x^2-36x}{\sqrt[4]{\left(x^3-6x^2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-56x-20}{\sqrt{\left(14x^2+10x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{4x+26}{\sqrt[4]{\left(x^2+13x+6\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{52x}{\sqrt[3]{\left(13x^2-26\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x}{\sqrt[5]{\left(x^2+40\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x+20}{\sqrt[5]{\left(9x^2-10x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x^2+104x-40}{\sqrt[3]{\left(x^3+13x^2-10x-60\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{40x-4}{\sqrt{\left(10x^2-2x-10\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-72x+6}{\sqrt{\left(12x^2-2x+33\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x+39}{\sqrt[3]{\left(x^2+13x+18\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x-36}{\sqrt{\left(10x^2-12x+9\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-32x-12}{\sqrt[5]{\left(8x^2+6x-16\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x-28}{\sqrt[3]{\left(3x^2-7x+16\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x}{\sqrt{\left(x^2+56\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x-8}{\sqrt[4]{\left(x^2+4x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-30x-12}{\sqrt[5]{\left(5x^2+4x-33\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x}{\sqrt[4]{\left(2x^2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x^2+120x+4}{\sqrt{\left(x^3+15x^2+x+4\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-88x+24}{\sqrt[3]{\left(11x^2-6x+48\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x}{\sqrt[4]{\left(2x^2-14\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x}{\sqrt[3]{\left(12x^2+8\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x+4}{\sqrt[3]{\left(2x^2-2x-20\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x-44}{\sqrt[3]{\left(x^2+11x+8\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-48x^2+56x-16}{\sqrt[3]{\left(8x^3-14x^2+8x+12\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{30x-39}{\sqrt{\left(5x^2-13x-27\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-52x+30}{\sqrt[3]{\left(13x^2-15x+2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x+3}{\sqrt[4]{\left(10x^2+x+39\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x-22}{\sqrt{\left(12x^2-11x+12\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-48x-36}{\sqrt[4]{\left(6x^2+9x+4\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{18x^2+24x}{\sqrt[3]{\left(3x^3+6x^2+10\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-48x}{\sqrt[4]{\left(8x^2-21\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x^2-48}{\sqrt[4]{\left(2x^3-12x+32\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2+52x-4}{\sqrt[4]{\left(2x^3-13x^2+2x-2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x}{\sqrt[3]{\left(3x^2-8\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x-8}{\sqrt{\left(3x^2-2x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x-27}{\sqrt[5]{\left(8x^2-9x+42\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-6x}{\sqrt[5]{\left(x^2\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-6x}{\sqrt[3]{\left(x^2-27\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-104x}{\sqrt[5]{\left(13x^2-4\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2-24x-2}{\sqrt[3]{\left(2x^3+6x^2+x+18\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-104x+32}{\sqrt[3]{\left(13x^2-8x+60\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{72x-9}{\sqrt[4]{\left(12x^2-3x+15\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{112x}{\sqrt[4]{\left(14x^2+24\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x+8}{\sqrt{\left(12x^2+4x+2\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x^2}{\sqrt{\left(3x^3-28\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{72x^2-12x-45}{\sqrt{\left(8x^3-2x^2-15x+36\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x}{\sqrt[4]{\left(x^2-33\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{72x+20}{\sqrt{\left(9x^2+5x-8\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-45x^2}{\sqrt[3]{\left(5x^3\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x-2}{\sqrt[3]{\left(3x^2+x-6\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-99x^2+54x}{\sqrt{\left(11x^3-9x^2-45\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x-15}{\sqrt[5]{\left(6x^2+5x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-132x^2+56x+36}{\sqrt{\left(11x^3-7x^2-9x-40\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-18x^2-4x+4}{\sqrt[4]{\left(3x^3+x^2-2x-20\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x+60}{\sqrt{\left(3x^2+15x+44\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-30x+42}{\sqrt[3]{\left(5x^2-14x-24\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x^2+120x+12}{\sqrt{\left(3x^3+15x^2+3x+8\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-99x^2-54x-45}{\sqrt[5]{\left(11x^3+9x^2+15x-39\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{66x}{\sqrt[3]{\left(11x^2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{64x+40}{\sqrt[3]{\left(8x^2+10x+8\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x-16}{\sqrt[3]{\left(x^2+8x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x-18}{\sqrt[3]{\left(x^2-6x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x+3}{\sqrt[4]{\left(2x^2+x+24\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x^2+44x+14}{\sqrt[3]{\left(4x^3+11x^2+7x+30\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x-16}{\sqrt[3]{\left(9x^2-8x+8\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-6x^2-12x}{\sqrt[4]{\left(x^3+3x^2+26\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x^2+42x}{\sqrt[3]{\left(4x^3-7x^2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-44x}{\sqrt{\left(11x^2+18\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-84x^2}{\sqrt[5]{\left(14x^3+6\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-44x-4}{\sqrt[3]{\left(11x^2+2x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{120x^2+48}{\sqrt[5]{\left(10x^3+12x+12\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{117x^2-12x-36}{\sqrt[3]{\left(13x^3-2x^2-12x-42\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x-16}{\sqrt[5]{\left(x^2+8x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x+6}{\sqrt[5]{\left(9x^2+3x-16\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{104x-60}{\sqrt[3]{\left(13x^2-15x-20\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{6x+3}{\sqrt[4]{\left(x^2+x+45\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x^2-24x+32}{\sqrt{\left(5x^3-3x^2+8x-44\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{18x^2+40x}{\sqrt[4]{\left(3x^3+10x^2+4\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-60x}{\sqrt[4]{\left(10x^2+30\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{60x-12}{\sqrt[5]{\left(15x^2-6x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{32x+4}{\sqrt[3]{\left(4x^2+x+36\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{40x+4}{\sqrt{\left(5x^2+x-32\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-135x^2+84x}{\sqrt[3]{\left(15x^3-14x^2+27\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{54x^2-12}{\sqrt[5]{\left(9x^3-6x+6\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{90x-3}{\sqrt[4]{\left(15x^2-x-42\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x+12}{\sqrt{\left(x^2-3x+60\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{52x+4}{\sqrt{\left(13x^2+2x-20\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x+18}{\sqrt[4]{\left(9x^2-9x\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x+26}{\sqrt[4]{\left(2x^2+13x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-40x}{\sqrt[3]{\left(5x^2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-6x^2+8x-28}{\sqrt[5]{\left(x^3-2x^2+14x-18\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{9x^2+48x}{\sqrt[3]{\left(x^3+8x^2-33\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x}{\sqrt{\left(2x^2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x^2-6x}{\sqrt[3]{\left(4x^3+x^2-6\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{63x^2-54x}{\sqrt[4]{\left(7x^3-9x^2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x^2+4x}{\sqrt[5]{\left(4x^3-x^2-2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{56x-16}{\sqrt[3]{\left(14x^2-8x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-60x-2}{\sqrt[5]{\left(15x^2+x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x}{\sqrt[4]{\left(12x^2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-42x}{\sqrt{\left(7x^2-3\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-18x^2+72x-45}{\sqrt[4]{\left(2x^3-12x^2+15x-3\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x^2-8x}{\sqrt[4]{\left(2x^3-2x^2+16\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x+26}{\sqrt[3]{\left(x^2-13x-4\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-45x^2-9}{\sqrt[3]{\left(5x^3+3x+21\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-45x^2}{\sqrt[5]{\left(5x^3+15\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2-20x}{\sqrt[5]{\left(2x^3+5x^2-2\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x}{\sqrt{\left(2x^2+21\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{40x-48}{\sqrt[3]{\left(5x^2-12x+44\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-72x+6}{\sqrt{\left(12x^2-2x-3\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x-32}{\sqrt[4]{\left(x^2+8x-28\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x}{\sqrt{\left(x^2-52\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-6x^2+24x}{\sqrt[3]{\left(x^3-6x^2+18\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{16x-4}{\sqrt[5]{\left(2x^2-x-4\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{9x^2}{\sqrt{\left(x^3-36\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{24x-10}{\sqrt{\left(6x^2-5x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2-32x-8}{\sqrt{\left(2x^3+8x^2+4x-6\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-44x-12}{\sqrt[3]{\left(11x^2+6x-6\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x+42}{\sqrt[3]{\left(6x^2+14x+9\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{66x-27}{\sqrt{\left(11x^2-9x+15\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x^2}{\sqrt[5]{\left(2x^3+14\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-40x-30}{\sqrt[3]{\left(10x^2+15x-20\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{12x+16}{\sqrt[5]{\left(3x^2+8x+4\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x^2+4x}{\sqrt[5]{\left(6x^3+x^2+28\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-16x}{\sqrt{\left(2x^2+20\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{112x-40}{\sqrt[3]{\left(14x^2-10x\right)^{5}}}\, \, dx = \cdots $
